leiden_pec_r08,mean_POD,mean_TEC,POD_minus_TEC
3,-0.09509213944233924,-0.05528667597045675,-0.03980546347188249
11,-0.17766393270921663,-0.00036517186598344404,-0.17729876084323318
6,-0.24126902273497652,0.01735658961328967,-0.2586256123482662
5,-0.44037247535652235,-0.11093241135970407,-0.3294400639968183
17,-0.4700597114902822,-0.10335529454549154,-0.36670441694479067
9,-0.5450515068427781,-0.14095616399248442,-0.4040953428502937
16,-0.5459551104412226,-0.1158044132327668,-0.4301506972084558
8,-0.5383307744602207,-0.09500964900888043,-0.4433211254513403
12,-0.529498517875329,-0.05712400823885257,-0.4723745096364764
18,-0.47157668156254573,0.01063026804305889,-0.4822069496056046
13,-0.62324802095711,-0.12697120581433394,-0.496276815142776
10,-0.5555370263566276,-0.022982801495176373,-0.5325542248614512
0,-0.33458068828291937,0.21823708705971206,-0.5528177753426314
4,-0.5149428157247651,0.12479699972169153,-0.6397398154464566
2,-0.47840928414369954,0.2874593123693491,-0.7658685965130486
15,-0.6628681762873778,0.39646034454044543,-1.0593285208278234
7,-0.442830701117869,0.628750414736394,-1.071581115854263
1,-0.591258357908511,0.7406823634751769,-1.3319407213836878
14,-0.6584198509879184,0.8735465188821157,-1.531966369870034
